rainfall,water_level,river_level,soil_moisture,humidity,flood_risk
0,1.0,1.5,25,45,5
2,1.1,1.6,28,48,7
5,1.2,1.7,30,50,9
8,1.3,1.8,32,52,11
10,1.4,1.9,35,55,13
12,1.5,2.0,38,57,15
15,1.6,2.1,40,60,18
18,1.7,2.2,42,62,20
20,1.8,2.3,45,64,23
22,1.9,2.4,48,66,26
25,2.0,2.5,50,68,30
28,2.1,2.6,52,70,33
30,2.2,2.7,55,72,36
32,2.3,2.8,58,73,39
35,2.4,2.9,60,74,42
38,2.5,3.0,62,76,45
40,2.6,3.1,65,78,48
43,2.7,3.2,68,80,52
45,2.8,3.3,70,81,55
48,2.9,3.4,72,82,58
50,3.0,3.5,74,83,61
55,3.1,3.6,76,84,64
60,3.2,3.7,78,85,67
65,3.3,3.8,80,86,70
70,3.4,3.9,82,87,73
75,3.5,4.0,84,88,76
80,3.6,4.2,86,89,79
85,3.8,4.4,88,90,82
90,4.0,4.6,89,91,85
95,4.2,4.8,90,92,87
100,4.4,5.0,91,93,89
105,4.6,5.2,92,94,91
110,4.8,5.4,93,94,93
115,5.0,5.6,94,95,95
120,5.2,5.8,95,96,96
125,5.4,6.0,96,96,97
130,5.6,6.2,97,97,98
135,5.8,6.4,98,97,99
140,6.0,6.6,98,98,99
150,6.5,7.0,99,99,100
5,1.2,1.8,70,85,18
10,1.4,2.0,80,90,22
15,1.6,2.2,85,92,27
20,1.8,2.5,90,94,32
30,2.2,3.0,92,95,45
40,2.8,3.5,94,96,58
50,3.2,4.0,96,97,70
60,3.8,4.5,97,98,82
80,4.5,5.5,98,98,94
100,5.5,6.5,99,99,99
